,obstacle_positions
191,"[[6, 155, 4, 153], [6, 239, 4, 237], [5, 124, 3, 122], [12, 227, 10, 225], [8, 148, 6, 146]]"
192,"[[1, 106, -1, 104], [8, 180, 6, 178], [7, 12, 5, 10], [5, 184, 3, 182], [7, 168, 5, 166], [1, 293, -1, 291]]"
193,"[[4, 208, 2, 206], [0, 67, -2, 65], [2, 41, 0, 39], [7, 86, 5, 84], [1, 253, -1, 251], [8, 196, 6, 194], [1, 229, -1, 227], [7, 60, 5, 58]]"
194,"[[0, 40, -2, 38], [0, 274, -2, 272], [1, 212, -1, 210], [1, 16, -1, 14], [3, 295, 1, 293], [0, 203, -2, 201]]"
195,"[[0, 23, -2, 21], [6, 64, 4, 62], [12, 262, 10, 260]]"
196,"[[9, 237, 7, 235], [4, 148, 2, 146], [6, 19, 4, 17], [13, 49, 11, 47], [2, 158, 0, 156]]"
197,"[[0, 167, -2, 165], [0, 300, -2, 298], [0, 272, -2, 270], [1, 53, -1, 51], [0, 145, -2, 143], [2, 10, 0, 8], [1, 89, -1, 87], [1, 99, -1, 97], [2, 216, 0, 214]]"
198,"[[0, 118, -2, 116], [6, 42, 4, 40], [5, 118, 3, 116], [7, 163, 5, 161], [2, 83, 0, 81], [4, 239, 2, 237], [5, 238, 3, 236], [4, 36, 2, 34]]"
199,"[[2, 203, 0, 201], [3, 294, 1, 292], [8, 283, 6, 281], [6, 19, 4, 17], [1, 181, -1, 179], [2, 164, 0, 162], [8, 70, 6, 68], [4, 12, 2, 10], [7, 171, 5, 169]]"
200,"[[3, 70, 1, 68], [2, 134, 0, 132], [3, 68, 1, 66], [3, 22, 1, 20], [3, 74, 1, 72], [2, 258, 0, 256], [3, 200, 1, 198], [0, 146, -2, 144], [3, 249, 1, 247], [2, 185, 0, 183]]"
201,"[[9, 69, 7, 67], [13, 191, 11, 189], [10, 143, 8, 141], [11, 62, 9, 60], [11, 26, 9, 24]]"
202,"[[15, 14, 13, 12]]"
203,"[[2, 180, 0, 178], [1, 108, -1, 106], [1, 17, -1, 15], [2, 131, 0, 129], [2, 229, 0, 227], [2, 61, 0, 59]]"
204,"[[3, 258, 1, 256], [0, 156, -2, 154]]"
205,"[[0, 125, -2, 123], [6, 170, 4, 168], [4, 95, 2, 93]]"
206,"[[5, 53, 3, 51], [7, 296, 5, 294], [7, 182, 5, 180], [6, 129, 4, 127], [8, 247, 6, 245], [2, 117, 0, 115], [0, 71, -2, 69], [7, 146, 5, 144]]"
207,"[[12, 57, 10, 55], [8, 282, 6, 280], [13, 43, 11, 41], [12, 190, 10, 188]]"
208,"[[1, 48, -1, 46], [1, 91, -1, 89], [1, 64, -1, 62], [2, 251, 0, 249], [2, 186, 0, 184], [0, 77, -2, 75]]"
209,"[[15, 258, 13, 256]]"
210,"[[2, 244, 0, 242], [1, 257, -1, 255], [1, 223, -1, 221], [3, 241, 1, 239], [0, 293, -2, 291], [1, 162, -1, 160], [1, 138, -1, 136], [2, 269, 0, 267], [1, 300, -1, 298], [0, 9, -2, 7]]"
211,"[[2, 252, 0, 250], [5, 127, 3, 125], [3, 196, 1, 194], [0, 200, -2, 198], [2, 57, 0, 55]]"
212,"[[5, 40, 3, 38], [4, 263, 2, 261], [0, 64, -2, 62], [5, 63, 3, 61], [1, 276, -1, 274], [3, 103, 1, 101], [4, 221, 2, 219], [3, 113, 1, 111], [4, 148, 2, 146], [3, 176, 1, 174]]"
213,"[[1, 230, -1, 228], [0, 78, -2, 76]]"
214,"[[4, 199, 2, 197], [7, 33, 5, 31], [2, 81, 0, 79], [5, 275, 3, 273], [3, 13, 1, 11], [2, 67, 0, 65]]"
215,"[[0, 280, -2, 278], [6, 182, 4, 180]]"
216,"[[17, 73, 15, 71], [9, 33, 7, 31], [2, 287, 0, 285], [8, 119, 6, 117]]"
217,"[[4, 13, 2, 11], [2, 239, 0, 237], [5, 143, 3, 141], [8, 28, 6, 26], [2, 173, 0, 171], [12, 202, 10, 200], [4, 117, 2, 115], [3, 299, 1, 297], [5, 296, 3, 294], [0, 282, -2, 280]]"
218,"[[5, 157, 3, 155], [11, 291, 9, 289], [10, 73, 8, 71], [7, 221, 5, 219], [10, 19, 8, 17], [12, 128, 10, 126], [5, 298, 3, 296], [2, 257, 0, 255]]"
219,"[[3, 75, 1, 73], [9, 22, 7, 20], [15, 119, 13, 117], [7, 290, 5, 288]]"
220,[]
221,[]
222,"[[0, 37, -2, 35], [7, 61, 5, 59], [5, 103, 3, 101], [6, 293, 4, 291], [2, 57, 0, 55], [5, 185, 3, 183], [4, 30, 2, 28], [5, 156, 3, 154], [2, 264, 0, 262]]"
223,"[[1, 89, -1, 87], [5, 182, 3, 180], [8, 272, 6, 270]]"
224,[]
225,"[[6, 69, 4, 67], [0, 172, -2, 170], [10, 201, 8, 199], [14, 269, 12, 267], [9, 27, 7, 25], [17, 40, 15, 38], [12, 46, 10, 44], [18, 112, 16, 110], [18, 109, 16, 107]]"
226,"[[2, 96, 0, 94], [17, 235, 15, 233], [13, 30, 11, 28], [16, 108, 14, 106], [9, 78, 7, 76]]"
227,"[[2, 18, 0, 16], [6, 180, 4, 178], [5, 102, 3, 100], [3, 38, 1, 36], [2, 54, 0, 52]]"
228,"[[2, 89, 0, 87], [6, 142, 4, 140], [5, 131, 3, 129]]"
229,"[[10, 216, 8, 214], [2, 199, 0, 197], [2, 277, 0, 275], [4, 111, 2, 109]]"
230,"[[2, 63, 0, 61], [6, 228, 4, 226], [7, 166, 5, 164], [7, 225, 5, 223], [7, 240, 5, 238], [7, 184, 5, 182], [1, 237, -1, 235], [5, 296, 3, 294]]"
231,"[[14, 29, 12, 27], [10, 214, 8, 212], [2, 231, 0, 229], [15, 273, 13, 271], [2, 112, 0, 110], [6, 278, 4, 276], [5, 82, 3, 80], [17, 79, 15, 77], [3, 237, 1, 235]]"
232,"[[5, 118, 3, 116], [10, 114, 8, 112], [1, 59, -1, 57]]"
233,"[[6, 170, 4, 168], [1, 142, -1, 140], [7, 285, 5, 283], [1, 262, -1, 260], [0, 155, -2, 153], [7, 215, 5, 213]]"
234,"[[4, 153, 2, 151], [7, 96, 5, 94], [7, 117, 5, 115], [4, 22, 2, 20]]"
235,"[[3, 36, 1, 34], [2, 47, 0, 45]]"
236,"[[0, 125, -2, 123], [0, 131, -2, 129], [0, 289, -2, 287], [3, 217, 1, 215], [7, 150, 5, 148]]"
237,"[[9, 138, 7, 136], [3, 119, 1, 117], [5, 260, 3, 258], [8, 211, 6, 209], [2, 101, 0, 99]]"
238,"[[9, 162, 7, 160], [2, 15, 0, 13]]"
239,"[[2, 14, 0, 12], [3, 23, 1, 21], [4, 80, 2, 78], [3, 48, 1, 46], [5, 68, 3, 66], [2, 33, 0, 31], [5, 100, 3, 98]]"
240,"[[2, 251, 0, 249], [2, 296, 0, 294], [1, 192, -1, 190]]"
241,"[[7, 150, 5, 148], [5, 194, 3, 192], [2, 232, 0, 230], [10, 275, 8, 273], [3, 262, 1, 260], [5, 254, 3, 252], [14, 251, 12, 249], [3, 78, 1, 76], [10, 111, 8, 109]]"
242,"[[5, 6, 3, 4], [9, 242, 7, 240], [8, 52, 6, 50], [10, 14, 8, 12], [9, 92, 7, 90], [8, 138, 6, 136], [10, 289, 8, 287], [5, 261, 3, 259]]"
243,"[[1, 96, -1, 94], [0, 288, -2, 286]]"
244,"[[1, 43, -1, 41], [6, 294, 4, 292], [6, 245, 4, 243]]"
245,"[[1, 58, -1, 56], [2, 19, 0, 17], [1, 162, -1, 160], [0, 258, -2, 256], [2, 160, 0, 158], [2, 132, 0, 130], [0, 70, -2, 68], [2, 148, 0, 146]]"
246,"[[9, 287, 7, 285]]"
247,"[[11, 40, 9, 38]]"
248,"[[4, 266, 2, 264], [0, 23, -2, 21], [5, 252, 3, 250]]"
249,"[[4, 293, 2, 291], [2, 46, 0, 44], [1, 254, -1, 252]]"
250,"[[16, 120, 14, 118], [5, 8, 3, 6], [12, 103, 10, 101], [2, 15, 0, 13], [0, 120, -2, 118], [16, 89, 14, 87], [17, 15, 15, 13], [14, 171, 12, 169]]"
251,"[[14, 68, 12, 66]]"
252,[]
253,"[[4, 191, 2, 189], [0, 107, -2, 105], [4, 260, 2, 258], [4, 246, 2, 244], [1, 188, -1, 186], [2, 43, 0, 41], [4, 79, 2, 77]]"
254,"[[3, 56, 1, 54], [4, 55, 2, 53], [0, 35, -2, 33], [6, 86, 4, 84], [9, 202, 7, 200], [5, 56, 3, 54], [7, 212, 5, 210], [5, 293, 3, 291]]"
255,"[[13, 284, 11, 282], [8, 228, 6, 226], [9, 67, 7, 65], [14, 182, 12, 180], [1, 296, -1, 294]]"
256,"[[12, 95, 10, 93], [1, 106, -1, 104], [8, 174, 6, 172]]"
257,"[[0, 62, -2, 60], [7, 90, 5, 88], [7, 273, 5, 271], [1, 135, -1, 133], [1, 165, -1, 163], [8, 239, 6, 237]]"
258,"[[0, 59, -2, 57], [0, 8, -2, 6]]"
259,[]
260,[]
261,[]
262,"[[1, 60, -1, 58], [5, 298, 3, 296], [6, 17, 4, 15], [8, 45, 6, 43], [8, 289, 6, 287], [13, 268, 11, 266], [14, 253, 12, 251], [12, 276, 10, 274], [14, 224, 12, 222], [6, 10, 4, 8]]"
263,"[[18, 260, 16, 258], [11, 264, 9, 262], [12, 164, 10, 162], [16, 224, 14, 222], [19, 277, 17, 275], [19, 292, 17, 290]]"
264,"[[5, 45, 3, 43], [0, 164, -2, 162], [2, 270, 0, 268], [1, 137, -1, 135], [12, 123, 10, 121], [6, 75, 4, 73], [7, 265, 5, 263], [7, 281, 5, 279], [14, 4, 12, 2], [8, 85, 6, 83]]"
265,"[[9, 129, 7, 127]]"
266,"[[6, 133, 4, 131], [12, 183, 10, 181], [5, 2, 3, 0], [6, 164, 4, 162]]"
267,"[[1, 118, -1, 116], [8, 211, 6, 209], [6, 9, 4, 7], [8, 263, 6, 261], [2, 265, 0, 263], [3, 246, 1, 244], [4, 53, 2, 51], [12, 190, 10, 188], [9, 38, 7, 36], [12, 233, 10, 231]]"
268,"[[8, 151, 6, 149], [11, 191, 9, 189], [1, 32, -1, 30], [10, 168, 8, 166], [2, 223, 0, 221], [8, 53, 6, 51], [6, 94, 4, 92], [0, 10, -2, 8], [0, 91, -2, 89], [9, 126, 7, 124]]"
269,"[[6, 229, 4, 227]]"
270,"[[1, 51, -1, 49], [13, 284, 11, 282], [1, 31, -1, 29], [4, 59, 2, 57], [7, 136, 5, 134], [8, 283, 6, 281], [4, 267, 2, 265], [1, 79, -1, 77], [9, 70, 7, 68], [14, 38, 12, 36]]"
271,"[[1, 196, -1, 194], [0, 138, -2, 136], [0, 259, -2, 257]]"
272,"[[12, 96, 10, 94], [3, 105, 1, 103], [4, 136, 2, 134], [2, 80, 0, 78]]"
273,"[[6, 167, 4, 165], [3, 266, 1, 264], [3, 23, 1, 21], [6, 132, 4, 130], [10, 277, 8, 275], [10, 221, 8, 219], [0, 126, -2, 124]]"
274,"[[7, 79, 5, 77], [8, 191, 6, 189], [11, 167, 9, 165]]"
275,"[[2, 130, 0, 128], [3, 263, 1, 261], [6, 117, 4, 115], [4, 38, 2, 36], [3, 30, 1, 28], [2, 250, 0, 248]]"
276,"[[1, 115, -1, 113], [2, 89, 0, 87], [1, 229, -1, 227], [5, 175, 3, 173]]"
277,"[[0, 12, -2, 10], [2, 150, 0, 148], [1, 106, -1, 104], [0, 120, -2, 118], [0, 182, -2, 180]]"
278,"[[8, 187, 6, 185], [1, 216, -1, 214], [7, 131, 5, 129], [3, 166, 1, 164]]"
279,"[[3, 47, 1, 45], [1, 44, -1, 42], [7, 133, 5, 131], [4, 129, 2, 127]]"
280,"[[5, 157, 3, 155], [1, 104, -1, 102], [4, 207, 2, 205], [5, 141, 3, 139]]"
281,[]
282,[]
283,"[[8, 245, 6, 243], [5, 9, 3, 7], [0, 154, -2, 152], [3, 159, 1, 157], [3, 133, 1, 131]]"
284,"[[12, 298, 10, 296], [1, 297, -1, 295], [1, 175, -1, 173], [11, 272, 9, 270], [4, 205, 2, 203], [1, 71, -1, 69]]"
285,[]
286,"[[2, 172, 0, 170], [1, 175, -1, 173], [0, 226, -2, 224], [1, 218, -1, 216]]"
287,"[[0, 133, -2, 131], [2, 238, 0, 236], [3, 128, 1, 126]]"
288,"[[1, 254, -1, 252], [2, 292, 0, 290], [2, 19, 0, 17], [2, 210, 0, 208], [1, 275, -1, 273]]"
289,"[[6, 130, 4, 128], [8, 246, 6, 244], [9, 198, 7, 196], [2, 252, 0, 250], [0, 294, -2, 292], [0, 66, -2, 64], [11, 196, 9, 194], [10, 202, 8, 200], [1, 116, -1, 114]]"
290,"[[13, 204, 11, 202], [5, 146, 3, 144], [0, 104, -2, 102], [11, 5, 9, 3], [0, 281, -2, 279], [3, 284, 1, 282], [7, 195, 5, 193], [13, 36, 11, 34], [5, 49, 3, 47], [6, 145, 4, 143]]"
291,"[[6, 89, 4, 87], [1, 88, -1, 86], [0, 54, -2, 52], [1, 256, -1, 254], [13, 169, 11, 167], [3, 187, 1, 185]]"
292,"[[1, 102, -1, 100], [2, 282, 0, 280]]"
293,"[[11, 224, 9, 222], [16, 234, 14, 232], [11, 134, 9, 132], [14, 204, 12, 202], [2, 57, 0, 55], [3, 176, 1, 174], [0, 50, -2, 48]]"
294,"[[5, 104, 3, 102], [0, 116, -2, 114], [1, 156, -1, 154], [2, 8, 0, 6], [4, 115, 2, 113], [0, 151, -2, 149], [3, 264, 1, 262], [2, 251, 0, 249], [0, 285, -2, 283]]"
295,"[[1, 197, -1, 195], [5, 181, 3, 179], [6, 157, 4, 155], [5, 225, 3, 223], [2, 117, 0, 115]]"
296,"[[0, 129, -2, 127], [0, 75, -2, 73], [9, 65, 7, 63], [2, 154, 0, 152], [7, 109, 5, 107]]"
297,"[[4, 33, 2, 31], [2, 97, 0, 95], [10, 224, 8, 222], [11, 249, 9, 247], [11, 121, 9, 119], [5, 140, 3, 138], [9, 141, 7, 139]]"
298,"[[9, 184, 7, 182]]"
299,"[[6, 20, 4, 18], [5, 193, 3, 191], [8, 194, 6, 192], [0, 171, -2, 169], [5, 217, 3, 215], [4, 143, 2, 141], [3, 160, 1, 158], [4, 25, 2, 23], [5, 119, 3, 117]]"
300,"[[5, 175, 3, 173], [1, 93, -1, 91]]"
301,"[[4, 129, 2, 127], [8, 89, 6, 87], [8, 295, 6, 293], [4, 253, 2, 251], [0, 238, -2, 236], [6, 193, 4, 191], [2, 191, 0, 189], [5, 164, 3, 162], [2, 100, 0, 98], [2, 120, 0, 118]]"
302,"[[3, 201, 1, 199], [5, 139, 3, 137], [0, 127, -2, 125]]"
303,"[[10, 283, 8, 281], [10, 89, 8, 87], [0, 2, -2, 0], [11, 130, 9, 128], [10, 141, 8, 139], [2, 182, 0, 180], [17, 171, 15, 169], [2, 129, 0, 127], [8, 93, 6, 91]]"
304,"[[3, 268, 1, 266], [17, 156, 15, 154], [13, 77, 11, 75], [9, 113, 7, 111], [4, 52, 2, 50], [9, 297, 7, 295], [14, 70, 12, 68], [0, 249, -2, 247], [14, 82, 12, 80], [8, 181, 6, 179]]"
305,"[[0, 59, -2, 57], [1, 74, -1, 72], [2, 119, 0, 117], [0, 36, -2, 34], [1, 83, -1, 81], [1, 132, -1, 130], [2, 105, 0, 103]]"
306,"[[1, 166, -1, 164], [0, 172, -2, 170], [8, 102, 6, 100], [16, 129, 14, 127], [18, 224, 16, 222], [7, 87, 5, 85]]"
307,[]
308,"[[5, 3, 3, 1], [0, 38, -2, 36], [1, 132, -1, 130], [3, 145, 1, 143]]"
309,"[[2, 121, 0, 119], [2, 109, 0, 107], [3, 289, 1, 287], [5, 298, 3, 296], [0, 71, -2, 69], [4, 168, 2, 166], [5, 69, 3, 67], [3, 294, 1, 292], [5, 215, 3, 213], [1, 10, -1, 8]]"
310,"[[1, 62, -1, 60], [1, 13, -1, 11], [3, 134, 1, 132], [1, 91, -1, 89], [2, 8, 0, 6], [3, 31, 1, 29], [2, 260, 0, 258], [2, 71, 0, 69]]"
311,"[[2, 52, 0, 50], [3, 42, 1, 40], [3, 170, 1, 168], [1, 271, -1, 269], [3, 222, 1, 220], [6, 6, 4, 4], [6, 211, 4, 209], [4, 20, 2, 18], [4, 15, 2, 13]]"
312,"[[1, 152, -1, 150], [2, 248, 0, 246], [2, 270, 0, 268], [2, 186, 0, 184], [1, 62, -1, 60], [7, 273, 5, 271], [4, 152, 2, 150], [2, 95, 0, 93], [7, 62, 5, 60], [4, 182, 2, 180]]"
313,"[[3, 110, 1, 108]]"
314,"[[3, 203, 1, 201], [8, 282, 6, 280], [4, 207, 2, 205], [8, 117, 6, 115], [2, 69, 0, 67], [8, 225, 6, 223], [4, 140, 2, 138], [4, 192, 2, 190], [6, 130, 4, 128]]"
315,"[[10, 95, 8, 93], [11, 18, 9, 16], [6, 231, 4, 229], [4, 252, 2, 250], [9, 297, 7, 295]]"
316,"[[0, 86, -2, 84], [2, 206, 0, 204], [2, 226, 0, 224], [0, 46, -2, 44], [0, 38, -2, 36], [1, 129, -1, 127], [1, 251, -1, 249], [1, 32, -1, 30]]"
317,"[[6, 254, 4, 252], [3, 153, 1, 151], [8, 296, 6, 294], [9, 299, 7, 297], [3, 8, 1, 6], [1, 14, -1, 12], [7, 12, 5, 10], [6, 169, 4, 167], [5, 247, 3, 245], [6, 240, 4, 238]]"
318,"[[9, 259, 7, 257], [0, 119, -2, 117]]"
319,"[[2, 244, 0, 242], [0, 266, -2, 264], [5, 212, 3, 210], [5, 116, 3, 114], [0, 204, -2, 202], [2, 300, 0, 298], [0, 46, -2, 44], [5, 153, 3, 151], [1, 149, -1, 147], [1, 116, -1, 114]]"
320,"[[8, 244, 6, 242]]"
321,"[[1, 122, -1, 120], [9, 105, 7, 103]]"
322,"[[0, 130, -2, 128]]"
323,"[[10, 186, 8, 184], [14, 226, 12, 224], [2, 23, 0, 21], [3, 261, 1, 259], [12, 155, 10, 153], [10, 66, 8, 64]]"
324,"[[0, 100, -2, 98], [7, 266, 5, 264], [5, 123, 3, 121], [4, 147, 2, 145], [2, 253, 0, 251], [9, 243, 7, 241], [7, 42, 5, 40], [1, 161, -1, 159], [7, 196, 5, 194], [7, 289, 5, 287]]"
325,"[[15, 191, 13, 189], [1, 107, -1, 105], [5, 196, 3, 194], [8, 169, 6, 167]]"
326,"[[1, 168, -1, 166], [0, 223, -2, 221], [6, 78, 4, 76], [18, 121, 16, 119], [9, 59, 7, 57], [14, 189, 12, 187], [5, 281, 3, 279]]"
327,"[[2, 283, 0, 281]]"
328,"[[0, 51, -2, 49], [2, 3, 0, 1]]"
329,"[[1, 56, -1, 54], [1, 39, -1, 37], [2, 257, 0, 255], [0, 26, -2, 24], [0, 85, -2, 83]]"
330,"[[9, 255, 7, 253], [7, 178, 5, 176], [11, 73, 9, 71], [4, 281, 2, 279], [13, 219, 11, 217], [3, 51, 1, 49], [3, 202, 1, 200]]"
331,"[[2, 128, 0, 126], [0, 279, -2, 277], [2, 232, 0, 230], [2, 63, 0, 61], [0, 296, -2, 294]]"
332,"[[8, 200, 6, 198], [2, 62, 0, 60], [9, 252, 7, 250], [2, 13, 0, 11], [3, 229, 1, 227], [3, 298, 1, 296], [8, 8, 6, 6], [9, 115, 7, 113]]"
333,"[[3, 114, 1, 112]]"
334,"[[0, 86, -2, 84], [4, 184, 2, 182], [2, 59, 0, 57], [5, 44, 3, 42], [1, 276, -1, 274], [0, 201, -2, 199], [3, 68, 1, 66], [3, 256, 1, 254], [4, 139, 2, 137], [2, 157, 0, 155]]"
335,"[[8, 110, 6, 108], [1, 228, -1, 226], [7, 86, 5, 84], [8, 63, 6, 61], [3, 170, 1, 168]]"
336,"[[1, 116, -1, 114], [1, 153, -1, 151], [2, 244, 0, 242]]"
337,"[[3, 73, 1, 71], [0, 183, -2, 181], [1, 65, -1, 63], [10, 239, 8, 237], [8, 237, 6, 235], [5, 56, 3, 54], [4, 185, 2, 183], [10, 271, 8, 269], [7, 86, 5, 84]]"
338,"[[2, 174, 0, 172]]"
339,"[[2, 132, 0, 130], [3, 187, 1, 185], [2, 222, 0, 220], [0, 233, -2, 231]]"
340,"[[6, 246, 4, 244], [4, 94, 2, 92], [5, 4, 3, 2]]"
341,"[[9, 97, 7, 95], [12, 287, 10, 285], [0, 111, -2, 109], [7, 49, 5, 47], [12, 220, 10, 218], [7, 230, 5, 228], [11, 65, 9, 63], [0, 11, -2, 9], [4, 274, 2, 272], [11, 255, 9, 253]]"
342,"[[6, 260, 4, 258], [1, 112, -1, 110], [16, 54, 14, 52], [12, 48, 10, 46], [2, 32, 0, 30], [2, 179, 0, 177], [18, 106, 16, 104]]"
343,"[[14, 148, 12, 146], [1, 20, -1, 18]]"
344,[]
345,"[[4, 237, 2, 235], [11, 59, 9, 57], [6, 197, 4, 195], [7, 112, 5, 110], [1, 299, -1, 297], [6, 203, 4, 201], [2, 114, 0, 112], [7, 220, 5, 218]]"
346,"[[0, 257, -2, 255], [13, 192, 11, 190], [11, 235, 9, 233], [14, 105, 12, 103], [10, 53, 8, 51], [5, 266, 3, 264]]"
347,"[[12, 168, 10, 166], [9, 114, 7, 112], [3, 207, 1, 205], [1, 110, -1, 108], [9, 279, 7, 277], [1, 162, -1, 160]]"
348,"[[6, 153, 4, 151], [0, 163, -2, 161]]"
349,"[[2, 54, 0, 52], [1, 215, -1, 213], [1, 24, -1, 22], [1, 161, -1, 159], [2, 11, 0, 9], [1, 255, -1, 253]]"
350,"[[10, 180, 8, 178], [11, 20, 9, 18], [0, 86, -2, 84], [6, 91, 4, 89], [2, 185, 0, 183], [8, 87, 6, 85], [9, 200, 7, 198]]"
351,"[[9, 7, 7, 5], [8, 192, 6, 190], [1, 97, -1, 95], [4, 21, 2, 19], [6, 131, 4, 129], [8, 283, 6, 281]]"
352,"[[8, 200, 6, 198], [4, 87, 2, 85], [1, 263, -1, 261], [14, 103, 12, 101], [15, 263, 13, 261], [2, 35, 0, 33]]"
353,"[[8, 148, 6, 146], [13, 291, 11, 289]]"
354,"[[6, 41, 4, 39]]"
355,"[[4, 195, 2, 193]]"
356,"[[6, 81, 4, 79], [11, 93, 9, 91], [8, 221, 6, 219], [7, 283, 5, 281], [7, 200, 5, 198], [2, 207, 0, 205], [5, 71, 3, 69], [10, 271, 8, 269], [4, 245, 2, 243]]"
357,"[[2, 213, 0, 211], [1, 161, -1, 159], [0, 174, -2, 172], [0, 201, -2, 199], [1, 35, -1, 33], [0, 57, -2, 55]]"
358,"[[2, 37, 0, 35], [8, 276, 6, 274], [5, 154, 3, 152], [13, 184, 11, 182], [4, 81, 2, 79]]"
359,[]
360,"[[1, 24, -1, 22], [7, 164, 5, 162], [5, 136, 3, 134], [4, 285, 2, 283], [1, 263, -1, 261], [4, 288, 2, 286], [8, 289, 6, 287]]"
361,"[[3, 66, 1, 64], [5, 77, 3, 75], [5, 252, 3, 250], [7, 234, 5, 232], [2, 15, 0, 13], [5, 286, 3, 284], [3, 20, 1, 18], [6, 213, 4, 211], [5, 247, 3, 245]]"
362,"[[4, 234, 2, 232], [0, 91, -2, 89], [4, 229, 2, 227], [5, 28, 3, 26], [4, 261, 2, 259], [0, 282, -2, 280]]"
363,"[[7, 155, 5, 153], [0, 248, -2, 246], [2, 44, 0, 42]]"
364,"[[3, 98, 1, 96], [0, 207, -2, 205], [1, 76, -1, 74], [2, 6, 0, 4], [0, 59, -2, 57], [1, 84, -1, 82], [3, 41, 1, 39], [1, 158, -1, 156]]"
365,"[[0, 44, -2, 42], [2, 201, 0, 199]]"
366,[]
367,"[[11, 262, 9, 260], [8, 109, 6, 107], [8, 4, 6, 2], [1, 252, -1, 250], [19, 111, 17, 109]]"
368,"[[2, 153, 0, 151], [3, 47, 1, 45]]"
369,"[[11, 202, 9, 200], [2, 91, 0, 89], [13, 213, 11, 211], [2, 17, 0, 15], [10, 29, 8, 27], [14, 237, 12, 235], [14, 92, 12, 90], [3, 132, 1, 130], [5, 3, 3, 1], [11, 275, 9, 273]]"
370,[]
371,[]
372,"[[1, 297, -1, 295]]"
373,"[[3, 258, 1, 256], [0, 215, -2, 213], [3, 3, 1, 1], [6, 33, 4, 31], [1, 67, -1, 65], [0, 241, -2, 239], [4, 125, 2, 123], [6, 110, 4, 108], [0, 109, -2, 107], [6, 15, 4, 13]]"
374,"[[11, 142, 9, 140]]"
375,"[[17, 69, 15, 67], [14, 48, 12, 46]]"
376,"[[2, 68, 0, 66], [3, 204, 1, 202], [5, 47, 3, 45]]"
377,[]
378,"[[7, 286, 5, 284], [0, 225, -2, 223], [3, 294, 1, 292]]"
379,"[[2, 41, 0, 39], [3, 163, 1, 161], [3, 74, 1, 72], [1, 261, -1, 259], [2, 219, 0, 217], [2, 6, 0, 4], [4, 140, 2, 138], [0, 73, -2, 71]]"
380,"[[0, 179, -2, 177], [5, 223, 3, 221], [1, 222, -1, 220], [1, 227, -1, 225], [5, 266, 3, 264], [2, 102, 0, 100], [2, 31, 0, 29], [0, 78, -2, 76], [1, 285, -1, 283], [1, 232, -1, 230]]"
381,[]
382,"[[7, 214, 5, 212], [5, 243, 3, 241], [10, 158, 8, 156], [8, 149, 6, 147], [7, 141, 5, 139], [3, 54, 1, 52], [7, 275, 5, 273], [7, 196, 5, 194], [5, 102, 3, 100], [8, 143, 6, 141]]"
383,"[[1, 57, -1, 55], [4, 110, 2, 108], [8, 237, 6, 235]]"
384,"[[1, 226, -1, 224], [2, 163, 0, 161], [1, 123, -1, 121], [1, 99, -1, 97], [3, 244, 1, 242], [2, 134, 0, 132], [0, 30, -2, 28]]"
385,"[[1, 183, -1, 181], [14, 97, 12, 95], [15, 14, 13, 12]]"
386,[]
387,"[[10, 266, 8, 264], [4, 281, 2, 279], [12, 97, 10, 95]]"
388,"[[6, 231, 4, 229], [13, 32, 11, 30], [2, 91, 0, 89], [12, 110, 10, 108], [8, 189, 6, 187], [2, 292, 0, 290]]"
389,"[[9, 268, 7, 266], [4, 253, 2, 251], [4, 241, 2, 239], [1, 68, -1, 66], [1, 236, -1, 234], [2, 262, 0, 260], [6, 12, 4, 10], [0, 109, -2, 107], [2, 263, 0, 261], [2, 54, 0, 52]]"
390,"[[7, 242, 5, 240], [13, 146, 11, 144], [3, 130, 1, 128], [5, 110, 3, 108], [3, 261, 1, 259]]"
391,"[[8, 9, 6, 7], [8, 141, 6, 139], [13, 30, 11, 28], [14, 164, 12, 162], [1, 260, -1, 258], [3, 143, 1, 141], [12, 265, 10, 263], [3, 207, 1, 205], [4, 117, 2, 115], [8, 288, 6, 286]]"
392,"[[5, 259, 3, 257], [5, 297, 3, 295], [1, 120, -1, 118], [2, 233, 0, 231]]"
393,"[[7, 12, 5, 10], [8, 228, 6, 226], [9, 39, 7, 37], [5, 67, 3, 65], [5, 143, 3, 141]]"
394,"[[2, 292, 0, 290], [1, 289, -1, 287], [3, 281, 1, 279], [11, 145, 9, 143], [0, 168, -2, 166]]"
395,"[[3, 167, 1, 165], [3, 76, 1, 74], [3, 56, 1, 54], [0, 71, -2, 69], [3, 271, 1, 269]]"
396,"[[8, 63, 6, 61], [6, 39, 4, 37], [5, 32, 3, 30]]"
397,"[[7, 86, 5, 84], [8, 176, 6, 174], [12, 23, 10, 21], [1, 238, -1, 236], [3, 118, 1, 116], [2, 80, 0, 78], [4, 151, 2, 149], [12, 294, 10, 292], [6, 179, 4, 177], [5, 192, 3, 190]]"
398,"[[3, 71, 1, 69], [2, 116, 0, 114], [6, 65, 4, 63]]"
399,"[[7, 56, 5, 54], [6, 78, 4, 76], [4, 107, 2, 105]]"
400,"[[1, 272, -1, 270], [1, 159, -1, 157], [13, 134, 11, 132], [12, 89, 10, 87], [10, 220, 8, 218], [16, 267, 14, 265], [4, 268, 2, 266]]"
401,[]
402,[]
